!MOLECULE
p-H3O+
!MOLECULAR WEIGHT
19.0
!NUMBER OF ENERGY LEVELS
14
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J,K,+/-
 1          0.0000         12.0     1_1_+
 2         29.3977         20.0     2_2_+
 3         44.9852         20.0     2_1_+
 4         55.2236         12.0     1_1_-
 5         84.6772         20.0     2_2_-
 6         96.8455         28.0     3_2_+
 7         99.4267         20.0     2_1_-
 8        112.3842         28.0     3_1_+
 9        150.9426         28.0     3_2_-
10        165.6593         28.0     3_1_-
11        186.6292         36.0     4_2_+
12        202.1028         36.0     4_1_+
13        239.1857         36.0     4_2_-
14        253.8589         36.0     4_1_-
!NUMBER OF RADIATIVE TRANSITIONS
17
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
 1      4    1      5.479e-02	   1655.813551     79.5 
 2      4    3      3.498e-04	    307.192410     79.5 
 3      5    2      7.323e-02	   1657.238181    121.8 
 4      6    5      2.790e-04	    364.797427    139.3 
 5      7    1      1.918e-01	   2980.735999    143.1 
 6      7    3      1.749e-02	   1632.114858    143.1 
 7      8    7      5.389e-04	    388.458641    161.7 
 8      9    2      2.780e-01	   3643.823152    217.2 
 9      9    6      3.432e-02	   1621.787488    217.2 
10     10    3      4.353e-01	   3617.720989    238.3 
11     10    8      8.194e-03	   1597.147627    238.3 
12     11    9      9.853e-03	   1069.857814    268.5 
13     12   10      1.312e-02	   1092.547939    290.8 
14     13    6      6.252e-01	   4267.249373    344.1	
15     13   11      1.888e-02	   1575.604072    344.1 
16     14    8      7.672e-01	   4241.304393    365.2 
17     14   12      4.507e-03	   1551.608827    365.2 
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
1 pH3O+ - H2 Scaled radiative and NH3 rates
!NUMBER OF COLL TRANS
91
!NUMBER OF COLL TEMPS
1
!COLL TEMPS
100.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
 1    4   3     3.2E-10
 2    4   1     1.9E-10
 3    7   3     4.2E-10
 4    7   1     2.7E-10
 5    8   4     4.9E-11
 6   10   3     7.9E-11
 7   10   8     9.2E-11
 8   12  10     1.0E-11
 9   14   8     1.0E-11
10   14  12     1.0E-11
11    5   2     2.8E-10
12    6   5     2.1E-10
13    9   2     6.8E-11
14    9   6     1.0E-11
15   11   9     6.5E-11
16   13   6     1.0E-10
17   13  11     1.0E-11
18    3   1     1.5E-10
19    7   4     1.2E-10
20    8   1     9.8E-11
21    8   3     1.8E-10
22    8   7     1.5E-10
23   10   1     9.9E-12
24   10   4     9.3E-11
25   10   7     7.3E-11
26   12   1     1.0E-11
27   12   3     1.0E-11
28   12   4     1.0E-11
29   12   7     1.0E-11
30   12   8     1.0E-11
31   14   1     1.0E-11
32   14   3     1.0E-11
33   14   4     1.0E-11
34   14   7     1.0E-11
35   14  10     1.0E-11
36    6   2     2.6E-10
37    9   5     1.6E-10
38   11   2     2.8E-11
39   11   5     2.6E-11
40   11   6     6.9E-11
41   13   2     1.0E-11
42   13   5     1.0E-11
43   13   9     1.0E-11
44    2   1     1.4E-10
45    5   1     9.1E-11
46    5   3     2.2E-10
47    5   4     1.6E-10
48    6   1     3.1E-11
49    6   3     2.8E-10
50    6   4     1.1E-10
51    9   1     6.8E-11
52    9   3     5.0E-11
53    9   4     2.4E-11
54    9   7     4.7E-11
55    9   8     1.5E-10
56   11   1     9.2E-12
57   11   3     2.1E-11
58   11   4     8.4E-12
59   11   7     3.3E-11
60   11   8     1.3E-10
61   11  10     1.1E-10
62   13   1     1.0E-11
63   13   3     1.0E-11
64   13   4     1.0E-11
65   13   7     1.0E-11
66   13   8     1.0E-11
67   13  10     1.0E-11
68   13  12     1.0E-11
69    3   2     1.8E-10
70    4   2     1.4E-10
71    7   2     2.1E-10
72    7   5     2.8E-10
73    7   6     1.8E-10
74    8   2     1.1E-10
75    8   5     2.0E-10
76    8   6     2.2E-10
77   10   2     8.3E-11
78   10   5     6.2E-11
79   10   6     1.4E-10
80   10   9     8.9E-11
81   12   2     1.0E-11
82   12   5     1.0E-11
83   12   6     1.0E-11
84   12   9     1.0E-11
85   12  11     1.0E-11
86   14   2     1.0E-11
87   14   5     1.0E-11
88   14   6     1.0E-11
89   14   9     1.0E-11
90   14  11     1.0E-11
91   14  13     1.0E-11
!NOTES:
!Energy levels, transition frequencies and Einstein A coefficients taken from JPL
