# for information on the format of this file, see readme_LineList_dat.txt
# >>chng 06 may 14, add H beta
# >>chng 06 may 09, add H+ region optical lines
# >>chng 06 feb 21, add broadband dust continua
# >>chng 06 aug 31, add inward pdr lines
#
# a set of lines for PDR calculations - this includes H2 lines
# that come from the big molecule 
# this file should be kept parallel with the version that does not
# include H2
#
# Begin CLOUDY grid output line list...
#
# hydrogen lines
# >>chng 17 may 26, wl from 6562.85A to 6562.81A, update Rydberg constant
H  1   6562.81A #   Balmer alpha    3-2
# >>chng 17 may 26, wl from 4861.36A to 4861.33A, update Rydberg constant
H  1   4861.33A #   Balmer beta     4-2
# >>chng 17 may 25, wl from 1.87511m to 1.87510m, up Rydberg constant
H  1   1.87510m #  Paschen alpha   4-3
H  1   4.05113m #  Br alpha        5-4
# >>chng 17 may 25, wl from 2.16553m to 2.16551m, up Rydberg constant
H  1   2.16551m #   Br gamma
#H  1   1.945m  # Br delta
# >>chng 17 may 25, wl from 7.45781m to 7.45777m, up Rydberg constant
H  1   7.45777m #  Pfund alpha     6-5
#H  1   12.37m  # Humphries alpha 7-6
#H  1   19.06m  # 8-7
# 
# strong optical lines from H+ region
O  3     5006.84
blnd  3727
n  2  6583.45
blnd     6720
# >>chng 17 may 26, wl from 4861.36 to 4861.33A, update Rydberg constant
H  1     4861.33A
blnd  6300
n  1  5200.26
# >>chng 13 jul 30, wl from 10829.9 to 1.08303m, increased wl precision to 6 sig. fig.
## >>chng 18 feb 20, updated spectral label from "He 1" 1.08303m to "Blnd" 1.08331m, update He-like triplet labels and wl
# >>chng 18 mar 06, wl from 1.08331m to 1.08302m, adjust multiplet Blend WL for refraction index
Blnd     1.08302m # all three lines within multiplet
#
# the strong pdr lines
#
# carbon monoxide
CO   2600.05m #  1-0
CO   1300.05m #  2-1
CO   866.727m #  3-2
CO   650.074m #  4-3
CO   325.137m #  8-7
#
# carbon
c  1  609.590m
c  1  370.269m
c  2  157.636m
#
# oxygen
O  1 63.1679m 
INWD 63.1679m 
O  1 145.495m
# 
# neon
ne 2  12.8101m
ne 3  15.5509m
ne 3  36.0036m
#
# total grain heating, all source, equal to total grain cooling
grat 0 
#
# series of IR bands, mainly dust emission in PDR
FIR  83.00m
TIR   1800m
NIRa 2.850m
NIRb 3.000m
MIRa 15.00m
MIRb 22.50m
NMIR 21.75m
TFIR 611.25m
#
# Silicon
si 2  34.8046m
#
# Sulphur
S  3 18.7078m
S  3 33.4704m
s  4  10.5076m
#
# an FeII line
Fe 2 1.64355m
#
CN        882.833m
CN        881.421m
CN        880.858m
CN        661.044m
CN        660.727m
NH3       523.514m 
HNC       1101.95m  
HNC       826.492m  
HNC       661.221m  
HNC       551.041m  
HNC       472.351m  
HNC       413.333m  
HCN       1127.22m 
HCN       845.428m 
HCN       676.373m 
HCN       563.665m 
HCN       483.168m 
CS        1529.50m 
CS        1223.63m 
CS        1019.72m 
CS        874.094m 
CS        764.867m 
CS        679.920m 
CS        611.963m 
CS        556.372m 
CS        510.044m 


# these are in the file, but the empty line above stopped the
# remainder of the file from being read
# the H2 lines
H2   17.03m   # 0-0 S(1)
H2   12.2752m # 0-0 S(2)
H2   9.66228m # 0-0 S(3)
H2   8.02362m # 0-0 S(4)
H2   6.90725m # 0-0 S(5)
H2   5.80953m # 1-1 S(7)
H2   5.50996m # 0-0 S(7)
H2   2.80176m # 1-0 O(3)
H2   2.73042m # 3-2 Q(3)
H2   2.71922m # 2-1 Q(9)
H2   2.71785m # 3-2 Q(2)
H2   2.70951m # 3-2 Q(1)
H2   2.62608m # 1-0 O(2)
H2   2.55785m # 2-1 Q(2)
H2   2.55029m # 2-1 Q(1)
H2   2.40594m # 1-0 Q(1)
H2   1.74760m # 1-0 S(7)
H2   1.62938m # 11-8 S(7)
H2   1.63092m # 1-0 S(15)
H2   1.63619m # 1-0 S(16)
H2   1.63877m # 1-0 S(12)
H2   1.64487m # 3-1 O(7)
H2   1.64998m # 1-0 S(11)
H2   1.65803m # 7-5 S(0)
H2   1.66604m # 1-0 S(10)
H2   1.67457m # 1-0 S(19)
H2   1.68726m # 1-0 S(9)
H2   1.69490m # 1-0 S(20)
H2   1.71419m # 1-0 S(8)
H2   1.71901m # 1-0 S(21)
H2   1.74720m # 1-0 S(22)
H2   1.74760m # 1-0 S(7)
H2   1.77967m # 1-0 S(23)
H2   1.78746m # 1-0 S(6)
H2   1.83529m # 1-0 S(5)
H2   1.89145m # 1-0 S(4)
H2   1.95702m # 1-0 S(3)
H2   2.03320m # 1-0 S(2)
H2   2.12099m # 1-0 S(1),  THE H2 line in the 2 micron window
H2   2.22269m # 1-0 S(0)
H2   2.41307m # 1-0 Q(2)
H2   2.42307m # 1-0 Q(3)
H2   2.43683m # 1-0 Q(4)
H2   2.45408m # 1-0 Q(5)
H2   2.47510m # 1-0 Q(6)
H2   2.49929m # 1-0 Q(7)
H2   2.52709m # 1-0 Q(8)
H2   2.55983m # 8-6 Q(15)
H2   2.59469m # 1-0 Q(10)
H2   2.63426m # 1-0 Q(11)
H2   2.67820m # 1-0 Q(12)
H2   2.72610m # 1-0 Q(13)
H2   2.77819m # 1-0 Q(14)
H2   2.83537m # 1-0 Q(15)
H2   2.89689m # 4-3 Q(2)
H2   2.96462m # 1-0 Q(17)
H2   3.11688m # 1-0 Q(19)
H2   3.36534m # 0-0 S(22)
H2   3.36794m # 0-0 S(21)
H2   3.37087m # 0-0 S(23)
H2   3.38104m # 6-5 Q(4)
H2   3.38671m # 0-0 S(24)
H2   3.40299m # 0-0 S(19)
H2   3.40989m # 0-0 S(25)
H2   3.43697m # 0-0 S(18)
H2   3.48530m # 0-0 S(17)
H2   3.54606m # 0-0 S(16)
H2   3.62531m # 0-0 S(15)
H2   3.72257m # 0-0 S(14)
H2   3.84534m # 0-0 S(13)
H2   3.99573m # 0-0 S(12)
H2   4.17983m # 0-0 S(11)
H2   4.40836m # 0-0 S(10)
H2   5.05148m # 0-0 S(8)
H2   6.10718m # 0-0 S(6)


